@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
482,'2024/10/30 14:13:14:445',1,558,150,1
483,'2024/10/30 14:13:14:461',1,558,144,1
484,'2024/10/30 14:13:14:478',1,560,137,1
485,'2024/10/30 14:13:14:495',1,561,134,1
486,'2024/10/30 14:13:14:512',1,563,130,1
487,'2024/10/30 14:13:14:528',1,564,129,1
488,'2024/10/30 14:13:14:544',1,566,124,1
489,'2024/10/30 14:13:14:561',1,567,122,1
490,'2024/10/30 14:13:14:578',1,568,120,1
491,'2024/10/30 14:13:14:595',1,572,112,1
492,'2024/10/30 14:13:14:611',1,573,110,1
493,'2024/10/30 14:13:14:628',1,574,107,1
494,'2024/10/30 14:13:14:645',1,574,107,1
495,'2024/10/30 14:13:14:661',1,574,106,1
496,'2024/10/30 14:13:14:678',1,574,106,1
497,'2024/10/30 14:13:14:695',1,575,106,1
498,'2024/10/30 14:13:14:711',1,575,105,1
499,'2024/10/30 14:13:14:729',1,575,104,1
500,'2024/10/30 14:13:14:745',1,575,104,1
501,'2024/10/30 14:13:14:762',1,575,104,1
502,'2024/10/30 14:13:14:778',1,575,104,1
503,'2024/10/30 14:13:14:795',1,573,104,1
504,'2024/10/30 14:13:14:811',1,571,104,1
505,'2024/10/30 14:13:14:830',1,567,104,1
506,'2024/10/30 14:13:14:844',1,564,105,1
507,'2024/10/30 14:13:14:861',1,556,105,1
508,'2024/10/30 14:13:14:879',1,547,105,1
509,'2024/10/30 14:13:14:894',1,536,104,1
510,'2024/10/30 14:13:14:911',1,525,104,1
511,'2024/10/30 14:13:14:928',1,510,105,1
512,'2024/10/30 14:13:14:945',1,505,106,1
